Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
1409,4,Egg Cups,Cinnamon Banana Mug Cake,Chocolate Almond Milk Protein Shake,Quick Grapefruit,
1409,5,Scrambled Eggs with Spinach and Ricotta,Toast with Tomato and Hummus,Fruited Curry Chicken Salad,Carrots,Very Green Veggie Protein Smoothie
1690.8,3,Peanut Butter Banana English Muffin,Plum and Greek Yogurt Snack,Cilantro Crab & Corn Stuffed Peppers,,
1690.8,4,Protein Southwest Scramble,Cinnamon Apple Bites,Lemon-Pepper Tuna Sandwich,Feta and Veggie Salad,
1690.8,5,Banana Flax Pancakes,Buttered Toast,Raspberries and Blackberries Protein Smoothie,Turkey and Avocado Wrap,Tuna Mex Tuna Salad
1937.38,3,Morning Green Smoothie,Tuna Salad,Carrots,,
1937.38,4,Ham and Veggie Omelet,Toast with Tomato and Hummus,Almonds and Blueberries Yogurt Snack,Peanut Butter & Carrots,
1937.38,5,Egg in a Basket,Cinnamon Apple Delight,Tuna and Avocado Salad,Veggies with Hummus,"Toast with Figs, Ricotta, & Sesame Seeds"
2183.95,3,Breakfast Mini Pizzas,Cinnamon Banana Mug Cake,Oatmeal banana protein shake,,
2183.95,4,Turkey Egg White Omelet,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Cilantro Crab & Corn Stuffed Peppers,Cucumber Apple Salad,
2183.95,5,"Kale, Sweet Potato, and Onion Frittata",Granola,Tangy Tuna Wrap,Peach and Peanut Butter Snack,Grown-Up PB&J Toast
2430.53,3,Protein Power Oats,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Strawberry Protein Yogurt Smoothie,,
2430.53,4,"Kale, Sweet Potato, and Onion Frittata",Cinnamon Banana Mug Cake,Paleo Avocado Tuna Salad (Tuna in Oil),Carrots,
2430.53,5,The Best Keto Breakfast,Yogurt & Strawberries,Banana and Berries Smoothie,Brie and Celery,Sardine Salad Sandwich
2677.1,3,Smoked Salmon and Egg Tortilla,Light Nectarine Yogurt,Two Bean Salad,,
2677.1,4,Spinach and Poached Egg Muffins,Yogurt with Cucumber & Lox,Chocolate PB & Banana Protein Shake,Hummus Chickpea Snack Sandwiches,
2677.1,5,Peanut Butter & Banana Oatmeal,Basic Protein Shake,Cilantro Crab & Corn Stuffed Peppers,Quick Mint Yogurt,Trail Mix
2080,3,Sour Cream Scrambled Eggs,Cinnamon Apple Delight,Simple Ham and Lettuce Sandwich,,
2080,4,Spinach and Mushroom Breakfast Scramble,Apples and Almond Butter,Hummus Avocado Toast,Yogurt with Carrots & Cucumber,
2080,5,Red Pepper Avocado Toast,Light Raspberry yogurt,Chicken and avocado salad,"Cucumber, Pineapple, Melon Smoothie",Trail Mix
2496,3,"""Banana Cream Pie"" Oatmeal",Cottage Cheese with Apples & Cinnamon,Quick Avocado Tuna Sandwich,,
2496,4,Creamy Salmon Omelet,Strawberry Pear Juice,Tuna & White Bean Salad,Cauliflower and Tahini,
2496,5,Protein Silver Dollar Blueberry Pancakes,Apples and Almond Butter on Toast,Banana and Berries Smoothie,Spinach Strawberry Salad,Light Peanut Butter Mousse
2860,3,Peanut Butter Raisin Oatmeal,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Mocha Berry Almond Smoothie,,
2860,4,Poached Egg and Crispy Prosciutto Toast,Chocolate Avocado Smoothie,Strawberry Grape Granola Parfait,Cottage Cheese with Cucumber and Tomato,
2860,5,Steak and Eggs Hash,Oranges,Cilantro Crab & Corn Stuffed Peppers,Yogurt with Papaya,Sardine Salad Sandwich
3224,3,Mushroom Egg White Omelet,Fruit Parfait,Simple Ham and Lettuce Sandwich,,
3224,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Cantaloupe,Strawberry Oatmeal Protein Smoothie,Cauliflower and Tahini,
3224,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,"Toast with Pear, Ricotta, & Honey",Tuna & White Bean Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Apple Sandwiches with Almond Butter & Granola
3588,3,Chicken & Mayo Bagel,"Toast with Pear, Ricotta, Honey, and Peanut Butter",Yogurt Chocolate Banana Shake,,
3588,4,Pumpkin Pecan Oatmeal,Guacamole on Tostada,Red Eye Protein Parfait,Arugula Salad with Grapefruit dressing,
3588,5,Vanilla Protein Shake,No-Bake Apple "Cookies",Blueberry Kale Salad,Nonfat yogurt,Maple Vinaigrette Couscous Salad
3952,3,Spinach and Mushroom Breakfast Scramble,Fruit Parfait,Chickpea Snack Sandwich,,
3952,4,"Peanut Butter, Banana, and Oatmeal Pancakes","Toast with Figs, Ricotta, & Sesame Seeds",Blueberry Shake,Pecans,
3952,5,Chicken & Mayo Bagel,Cinnamon Sugar Toast with Sea Salt,Antipasto "No-Bread" Rollups,"Chickpea, Walnut, & Cucumber Yogurt",Mocha Berry Almond Smoothie
1681.5,3,"Sausage, Egg, and Cheese Muffin",Granola,Blackberry Yogurt Parfait,,
1681.5,4,Paleo Tomato and Egg Scramble,Fruit Salad,Tuna and Avocado Salad,Quick Grapefruit,
1681.5,5,Egg White Spinach Omelet,Raspberry Mango Sunrise Smoothie,Almonds and Blueberries Yogurt Snack,"Watermelon, Feta, & Mint Salad","Toast with Tomato, Onion, & Hummus"
2017.8,3,Cinnamon Almond Oatmeal,Yogurt & Banana Chips,Sunrise Smoothie,,
2017.8,4,Pumpkin Protein Pancakes,"Peanut Butter, Spinach, and Kale Smoothie",Cool Summer Cucumber Chicken and Tomato Toss,Simple Spinach Salad,
2017.8,5,Peanut Butter and Banana Toast,Plum and Greek Yogurt Snack,Simple Ham and Lettuce Sandwich,Strawberries,Creamy Chocolate Protein Smoothie
2312.06,3,Spinach and Mushroom Breakfast Scramble,Peanut Butter Banana Smoothie,Cool Summer Cucumber Chicken and Tomato Toss,,
2312.06,4,Hard Boiled Egg and Avocado Bowl,Yogurt & Pineapple,Strawberry Protein Shake,Cucumber Avocado Salad,
2312.06,5,Open-face Breakfast Sandwich,Light Peach Yogurt,Tuna and Avocado Wrap,Corn Thins and Avocado,"Turkey, Ham, and Avocado on Rye"
2606.33,3,Banana Avocado Protein Smoothie,Cinnamon Apple Bites,Cool Summer Cucumber Chicken and Tomato Toss,,
2606.33,4,Bacon Breakfast Tacos,High Potassium Fruit Salad,Chocolate PB & Banana Protein Shake,Spinach and Broccoli Salad,
2606.33,5,Curry Scramble,Whey Chocolate Shake,Spinach & Avocado Soup,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Yogurt Peanut Butter Dip & Apples
2900.59,3,Pumpkin Pie Spiced Waffles,Cottage Cheese with Apples & Cinnamon,Salmon Salad,,
2900.59,4,Peach Cobbler Oatmeal,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Chicken Celery Sticks,Raspberry Yogurt Parfait,
2900.59,5,Protein Yogurt and Blueberries,Cinnamon Apple Bites,Lime Chicken Salad,"Pomegranate, Blueberry, and Spinach Smoothie",Maple Vinaigrette Couscous Salad
3194.85,3,"Peanut Butter, Banana, and Oatmeal Pancakes","Spinach, Pineapple, and Mango Berry Smoothie",Sardine Salad Sandwich,,
3194.85,4,Ham and Egg Scramble,Whey Chocolate Shake,Quick and Easy Chicken Salad Sandwich,Apples and Almond Butter,
3194.85,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,"Toast with Figs, Ricotta, and Honey",Cilantro Crab & Corn Stuffed Peppers,Rice Cake with Salmon & Dill Spread,Yogurt Peanut Butter Dip & Apples
1738.75,3,Egg White Spinach Feta Wrap,Cinnamon Banana Mug Cake,Corn Tuna Salad,,
1738.75,4,"Spinach, Pepper, and Tomato Scramble on Toast",Blueberry Yogurt,Chicken Celery Sticks,Kiwi Berry Smoothie,
1738.75,5,Cottage Cheese with Raspberries,Peanut Butter and Peach Toast,Seedy Avocado Toast,Light Raspberry yogurt,Chocolate Almond Milk Protein Shake
2086.5,3,Homemade Turkey McMuffins,"Spinach, Pineapple, and Mango Berry Smoothie",Peach and Blueberry Parfait,,
2086.5,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Mini Avocado and Hummus Quesadilla,Peanut Butter Banana Smoothie,Mixed Greens with Olive Oil and Lemon Salad Dressing,
2086.5,5,Zucchini Hash Browns,Yogurt & Apricots,Sunrise Smoothie,Bell Pepper and Hummus Snack,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese"
2390.78,3,"Berry, Spinach, and Avocado Smoothie",3 Herb Breakfast Patties,Red Eye Protein Parfait,,
2390.78,4,Sweet potato bacon and egg salad,Cottage Cheese with Apples & Cinnamon,Peach and Blueberry Parfait,Avocado Rice Cake,
2390.78,5,Cinnamon Apple Oatmeal,Plum and Greek Yogurt Snack,Quick Avocado Tuna Sandwich,"Turkey, Kale, and Goat Cheese Roll-Up",Trail Mix
2695.06,3,"Scrambled Eggs, Avocado, and Smoked Salmon on Toast",Cinnamon Yogurt with Sliced Apple,Post-Workout Peanut Butter Shake,,
2695.06,4,Morning Green Smoothie,Buttered Toast,Tuna Salad,Yogurt with Carrots & Cucumber,
2695.06,5,Yogurt with Avocado & Basil,Apples and Almond Butter on Toast,Orange-Vanilla Protein Smoothie,Spinach Strawberry Salad,Sardine Salad Sandwich
2999.34,3,Banana Protein Pancakes with Yogurt Glaze,Guacamole on Tostada,Tuna Salad  Wrap,,
2999.34,4,Pumpkin Pie Spiced Waffles,Cinnamon Yogurt with Sliced Apple,Simple Ham and Lettuce Sandwich,Blue cheese & veggie salad,
2999.34,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Classic Fruit Salad,Quick Buffalo Chicken Salad,Ants on a Log,Maple Vinaigrette Couscous Salad
3303.62,3,Peanut Butter Protein Oats,Peanut Butter Bagel,Tuna Turmeric Salad,,
3303.62,4,Quinoa and Berries,Yogurt with Walnuts & Honey,Paleo Avocado Tuna Salad (Tuna in Oil),Strawberry Pear Juice,
3303.62,5,Strawberry Protein Shake,Cucumber Avocado Toast,Chicken and avocado salad,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Greek Yogurt and Berry Parfait
2089,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Papaya Flaxseed Shake,"Turkey, Provolone, and Sprout Sandwich",,
2089,4,Sausage and Egg Breakfast Sandwich,Blueberries,Tangy Tuna Wrap,Corn Thins and Avocado,
2089,5,"Chocolate, Avocado, and Strawberry Smoothie",Yogurt & Cantaloupe,Cucumber Crab Sushi,Green Bean Healthy Tuna Salad,Cottage Cheese with Avocado & Tomato
2506.8,3,Blueberry Banana Smoothie,Apples and Almond Butter,Quick and Easy Chicken Salad Sandwich,,
2506.8,4,Banana Peanut Butter Chia Pudding,Yogurt with Almonds & Honey,Oatmeal banana protein shake,Cucumber Boats with Spicy Hummus,
2506.8,5,Huevos Pericos,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Sunrise Smoothie,Cauliflower and Hummus Snack,Trail Mix
2872.38,3,Avocado and Egg Toast,Nonfat greek yogurt,Strawberry Banana Protein Shake,,
2872.38,4,Egg and Greens Skillet,Yogurt & Apricots,Quick Avocado Tuna Sandwich,Corn Thins and Avocado,
2872.38,5,Blueberry Mint Smoothie,Protein-boosted Yogurt,Classic Tuna Salad,Carrots with Hummus,Matcha Green Tea Chia Pudding
3237.95,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Yogurt with Pumpkin & Cinnamon,Oatmeal Banana Peanut Butter Chocolate Shake,,
3237.95,4,Vegetarian Breakfast Burrito,Yogurt with Grapefruit & Honey,Vegan Mexican Tortilla Roll Ups,Green Bean Healthy Tuna Salad,
3237.95,5,Knock-Oats,Cinnamon Honey Cottage Cheese,Protein Yogurt and Blueberries,Simple Spinach Salad,Banana Almond Shake
3603.53,3,Breakfast pita pizza,Rice Cake with Peanut Butter and Chocolate Chips,Coconut Banana Protein Shake,,
3603.53,4,Pumpkin Pecan Oatmeal,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Simple Ham and Lettuce Sandwich,Strawberry and Almond Butter Fruit Smoothie,
3603.53,5,Sour Cream Scrambled Eggs,Peanut Butter Banana Smoothie,Salmon Salad,Yogurt & Honeydew Melon,Maple Vinaigrette Couscous Salad
3969.1,3,Smoked Salmon and Mushroom Scramble,Peanut Butter Protein Milkshake,Mango chia seed pudding,,
3969.1,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Yogurt with Toasted Coconut,1000 Calorie Shake,Spinach Tomato Salad,
3969.1,5,Yogurt with Avocado & Basil,Protein Berry Crumble,Tropical Green Protein Smoothie,Quick Hip Spinach,Paleo Avocado Tuna Salad (Tuna in Oil)
1502.5,3,Raspberries and Blackberries Protein Smoothie,"Toast with Berries, Basil & Cream Cheese",Yogurt with Avocado & Basil,,
1502.5,4,Avocado & Tomato Toast,Yogurt with Pumpkin & Cinnamon,Red Pepper & Tomato Salad,Cottage Cheese with Cucumber and Tomato,
1502.5,5,Banana Protein Pancakes,Buttered Toast,All American Tuna,Chopped Salad,Veggie Nori Roll
1803,3,Turkey and Avocado Egg Wrap,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Chicken and avocado salad,,
1803,4,Turkey Sausage and Pesto Breakfast Sandwich,Yogurt with Pumpkin & Cinnamon,Almond Mango Protein Shake,Tomato Basil Layered Salad,
1803,5,"Kale, Sweet Potato, and Onion Frittata",Cinnamon Apple Bites,"Turkey, Cheddar, and Mustard Sandwich",Plum and Greek Yogurt Snack,Quick Buffalo Chicken Salad
2065.94,3,Sweet potato bacon and egg salad,Very Berry Cottage Cheese,White Bean & Veggie Salad,,
2065.94,4,Creamy Salmon Omelet,Honey Grapefruit with Banana,Tuna Avocado Salad,Raspberry Yogurt Parfait,
2065.94,5,Banana & Almond Butter Toast,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Peanut Butter and Banana Toast,Yogurt with Matcha & Toasted Coconut,Strawberry Banana Protein Shake
2328.88,3,Cinnamon Swirl Pumpkin Pie Protein Pancakes,Raspberry Yogurt Parfait,Turkey Hummus Wrap,,
2328.88,4,Pina Colada Chia Pudding,Yogurt & Banana,Plain Tuna Salad,Peanut Butter Banana Smoothie,
2328.88,5,Yogurt with Avocado & Basil,Cinnamon Sugar Toast with Sea Salt,Spicy Tuna Salad,Strawberries,Peanut Butter and Honey Toast
2591.81,3,English Muffin Spicy Tuna Melt,Chocolate Avocado Smoothie,Quick and Easy Chicken Salad Sandwich,,
2591.81,4,Cinnamon Apple Oatmeal,3 Herb Breakfast Patties,Post-Workout Peanut Butter Shake,Turkish Style Salad,
2591.81,5,Protein Banana Egg Pancakes,Peaches & Almond Butter on Toast,Paleo Avocado Tuna Salad (Tuna in Water),"Kale, Spinach, and Pear Smoothie",Sardine Salad Sandwich
2854.75,3,Pumpkin Pie Spiced Waffles,Honey and Melon Cottage Cheese,Protein Yogurt and Blueberries,,
2854.75,4,Morning Green Smoothie,"Banana, Almond Butter, and Dates",Salmon Wrapped Avocado,Yogurt & Pineapple,
2854.75,5,Scrambled Eggs with Onion Flakes,Apple Pie Kefir Smoothie,White Bean & Veggie Salad,Cottage Cheese with Cucumber and Tomato,Matcha Green Tea Chia Pudding
1645.25,3,Protein Breakfast Burrito,Cinnamon Apple Delight,"Berry, Spinach, and Avocado Smoothie",,
1645.25,4,Garlic and Onion Frittata,Toast with Tomato and Hummus,Raspberry Cream Cheese and Turkey Sandwich,Mixed Greens with Sun-Dried Tomato Dressing,
1645.25,5,Egg White and Mushroom Omelet,Peanut Butter and Peach Toast,Tuna Poke,Yogurt with Mango & Avocado,Brie cheese on bread
1974.3,3,English Muffin Ham Breakfast Sandwich,Cantaloupe,Yogurt with Walnuts & Honey,,
1974.3,4,Banana and Berries Smoothie,Bacon,Cool Summer Cucumber Chicken and Tomato Toss,Cabbage Cucumber Salad,
1974.3,5,Creamy Green Chia Smoothie,Oranges,Chicken Caesar Wraps,Fresh Jicama Salad,Cucumber Tomato Salad with Tuna
2262.22,3,Mixed Berry Morning Smoothie,Brie cheese on bread,Simple Lemon Pepper Tuna,,
2262.22,4,Baked Eggs in Ham,Strawberry and Almond Butter Fruit Smoothie,Simple Ham and Lettuce Sandwich,Thai Cucumber Salad,
2262.22,5,"Spinach, Pepper, and Tomato Scramble on Toast",Plum and Greek Yogurt Snack,Raspberries and Blackberries Protein Smoothie,Spinach Tomato Salad,Peanut Butter and Honey Toast
2550.14,3,Chocolate PB & Banana Protein Shake,Vegan Breakfast Potatoes,"Turkey, Ham, and Avocado on Rye",,
2550.14,4,Banana Peanut Butter Chia Pudding,Yogurt with Walnuts & Honey,"Turkey, Provolone, and Sprout Sandwich",Balsamic Arugula Salad,
2550.14,5,Bell Pepper Egg-In-A-Hole,Strawberry and Almond Butter Fruit Smoothie,"Turkey, corn and tomato wrap","Yogurt with Blueberries, Sunflower Seeds, and Honey",Trail Mix
2838.06,3,Ham and Veggie Omelet,Almond Butter Banana Toast,Chicken and avocado salad,,
2838.06,4,Cinnamon Apple Protein Oatmeal,Cinnamon Banana Mug Cake,Baby Carrot Banana Smoothie,Ants on a Log,
2838.06,5,Banana Peanut Butter Chia Pudding,Cottage Cheese & Apricots,Vanilla Banana Protein Shake,Avocado Tomato Salad,Yogurt Peanut Butter Dip & Apples
3125.97,3,Pumpkin Pecan Oatmeal,Avocado Rice Cake,Tropical Green Protein Smoothie,,
3125.97,4,Paleo Tomato and Egg Scramble,Apple Pie Kefir Smoothie,Cucumber Tomato Salad with Tuna,Rice Cake with Peanut Butter and Chocolate Chips,
3125.97,5,Red Eye Protein Parfait,Apple Toast,Strawberry Mango Shake,Tuna Apple Salad,Date Wraps
1792.5,3,Broccolli Hash with Fried Egg,Pineapple Cottage Cheese with Lime,Hummus Avocado Toast,,
1792.5,4,Protein Banana Egg Pancakes,PB & Dates Energy Bites,Greek Yogurt with Blue and Blackberries,Brie cheese on bread,
1792.5,5,Blackberry Almond Butter Sandwich,Nonfat greek yogurt,Strawberry Almond Trim Smoothie,Easy Tossed Salad,"Toast with Tomato, Onion, & Hummus"
2151,3,Baked Eggs in Ham,"Banana, Berries, and Bittersweet Chocolate Snack",Paleo Avocado Chicken Salad,,
2151,4,Peach and Blueberry Parfait,PB & Dates Energy Bites,Cool Summer Cucumber Chicken and Tomato Toss,Easy Spinach and Scallion Salad,
2151,5,Protein Banana Egg Pancakes,Granola,Baby Carrot Banana Smoothie,Basic Tossed Salad,"Toast with Pear, Ricotta, & Honey"
2464.69,3,Mushroom Egg White Omelet,Cherry Berry Protein Smoothie,Turkey Wrap,,
2464.69,4,Breakfast Burrito,"Toast with Tomato, Onion, & Hummus",Coconut Banana Avocado Smoothie,Yogurt & Banana Chips,
2464.69,5,High Protein Omelet,Peanut Butter and Peach Toast,Maple Pear Spinach & Ham Salad,Yogurt & Apricots,Trail Mix
2778.38,3,Pumpkin Pecan Oatmeal,Cinnamon Apple Bites,Greek Yogurt and Berry Parfait,,
2778.38,4,Knock-Oats,Cinnamon Honey Cottage Cheese,Spicy Tuna Salad,Edamame Slaw,
2778.38,5,Hard Boiled Egg and Avocado Bowl,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Mocha Berry Almond Smoothie,Green salad,Curried Popcorn
3092.06,3,Avocado and Egg Toast,Yogurt with Pumpkin & Cinnamon,Cool Summer Cucumber Chicken and Tomato Toss,,
3092.06,4,"Kale, Peppers, Tomatoes, and Cashew Scramble",Peanut Butter Banana Smoothie,Protein Yogurt and Blueberries,Avocado Citrus Salad with Mint,
3092.06,5,Morning Green Smoothie,Buttered Toast with Cinnamon,Tuna Stuffed Pepper,Arugula Salad with Grapefruit dressing,Yogurt Peanut Butter Dip & Apples
3405.75,3,Garlic Eggs,Fried Rice,Oatmeal Banana Peanut Butter Chocolate Shake,,
3405.75,4,Black Bean Vegetarian Quesadillas,Easy To Peel Hard-Boiled Eggs,Red Eye Protein Parfait,Peach and Peanut Butter Snack,
3405.75,5,2 Ingredient Protein Pancakes,Whey Chocolate Shake,Tuna Salad,Yogurt & Pineapple,Simple Ham and Lettuce Sandwich
2015.25,3,Turkey Egg White Omelet,Chocolate Avocado Smoothie,Protein Yogurt and Blueberries,,
2015.25,4,"Mango, Berry, Flax Smoothie",Cinnamon Sugar Toast with Sea Salt,Tuna and Hummus,Mexican Street Corn,
2015.25,5,Turkey Egg White Omelet,Lime Avocado Milkshake,Peach and Blueberry Parfait,Tomato and Radish Salad,"Turkey, Ham, and Avocado on Rye"
2418.3,3,Dark Chocolate Banana Smoothie,Cinnamon Toast,Hummus Avocado Toast,,
2418.3,4,Steak and Eggs Hash,Oranges,Cilantro Crab & Corn Stuffed Peppers,Lettuce Cucumber Walnut Salad,
2418.3,5,Cinnamon Almond Oatmeal,Nonfat greek yogurt,Cool Summer Cucumber Chicken and Tomato Toss,Mediterranean Chopped Salad,Peach and Peanut Butter Snack
2770.97,3,Herb Omelette with Fried Tomatoes,Yogurt & Apricots,Strawberry Oatmeal Protein Smoothie,,
2770.97,4,Knock-Oats,Yogurt & Honeydew Melon,Tuna and Hummus,Chocolate Peanut Hazelnut Banana shake,
2770.97,5,Spinach and Mushroom Breakfast Scramble,"Peanut Butter, Spinach, and Kale Smoothie",Chicken Celery Sticks,Edamame Slaw,Yogurt Peanut Butter Dip & Apples
3123.64,3,Pumpkin Pecan Oatmeal,Turkish Style Zucchini Fritters,Peach Oatmeal Smoothie,,
3123.64,4,Spicy Fried Eggs,Cinnamon Honey Cottage Cheese,Strawberry Oatmeal Protein Smoothie,Lettuce Cucumber Walnut Salad,
3123.64,5,Herb Omelette with Fried Tomatoes,Kiwi Berry Smoothie,All American Tuna,Summer Pepper and Tomato Salad,Yogurt Peanut Butter Dip & Apples
3476.31,3,Peanut Butter Oatmeal and Berries,Yogurt with Cucumber & Lox,Coconut Banana Protein Shake,,
3476.31,4,Nectarine Oatmeal,Chocolate Coconut Protein Shake,Peach and Blueberry Parfait,Mexican Street Corn,
3476.31,5,Turkey Egg White Omelet,Rice Cake with Peanut Butter and Chocolate Chips,Salmon Salad,Yogurt & Strawberries,Sunrise Smoothie
3828.97,3,Avocado Breakfast Smoothie,Spanish-style Toast with Tomato,Chickpea Salad,,
3828.97,4,Ham and Asparagus Fritatta,Strawberry Pear Juice,Blueberry Shake,Lemon Avocado Salad,
3828.97,5,Mediterranean Tomato Egg Scramble Wrap,Yogurt with Almonds & Honey,Apple Spice Protein Shake,Rice Cake with Peanut Butter and Chocolate Chips,Paleo Avocado Tuna Salad (Tuna in Oil)
1602.5,3,Protein Southwest Scramble,"Toast with Berries, Basil & Cream Cheese",Very Green Veggie Protein Smoothie,,
1602.5,4,Avocado-egg Toast,Plum and Greek Yogurt Snack,Tuna Salad  Wrap,Avocado Coleslaw,
1602.5,5,Egg White Avocado & Tomato Scramble,Strawberry and Peach Green Smoothie,Tuna and Avocado Wrap,Sliced Turkey Pinwheels,Avocado Citrus Salad with Mint
1923,3,Chia Pudding,Basic Protein Shake,Tuna Salad,,
1923,4,Zucchini Hash,Peach and Peanut Butter Snack,Raspberry Peanut Butter Protein Smoothie,Yogurt & Strawberries,
1923,5,Sweet Potato Hash,Light Peach Yogurt,Raspberries and Blackberries Protein Smoothie,Mixed Greens with Sliced Cucumber and Avocado,"Turkey, Ham, and Avocado on Rye"
2203.44,3,Egg with Bacon and Brussel Sprout Hash,Yogurt & Mango,Avocado Chickpea Lettuce Wraps,,
2203.44,4,Microwave Peanut Butter Protein Oats,Peach and Peanut Butter Snack,Chocolate Peanut Butter Oatmeal Protein Shake,Edamame Slaw,
2203.44,5,Breakfast Parfait,Buttered Toast,Classic Tuna Salad,Bell Pepper and Hummus Snack,"Cream Cheese, Lox, and Capers English Muffin"
2483.88,3,Spicy Fried Eggs,Nonfat yogurt,Mocha Berry Almond Smoothie,,
2483.88,4,Pepper and Hummus Toast,Protein-boosted Yogurt,Quick Avocado Tuna Sandwich,Mediterranean Chopped Salad,
2483.88,5,Breakfast Quesadilla,Yogurt & Cantaloupe,Sunrise Peanut Butter Berry Protein Smoothie,Spinach and Broccoli Salad,Sardine Salad Sandwich
2764.31,3,Peach Cobbler Oatmeal,Yogurt with Walnuts & Honey,Blueberry Shake,,
2764.31,4,Ground Beef Omelet,Cinnamon Apple Delight,Raspberries and Blackberries Protein Smoothie,Ants on a Log,
2764.31,5,Mixed Berry Morning Smoothie,Cinnamon Toast,Kale White Bean and Pesto Salad,Turkey and Avocado Wrap,Sardine Salad Sandwich
3044.75,3,"Egg, Turkey, and Cheese Wrap","Banana, Berries, and Bittersweet Chocolate Snack",Cool Summer Cucumber Chicken and Tomato Toss,,
3044.75,4,Berry Granola Parfait,3 Herb Breakfast Patties,Quick Avocado Tuna Sandwich,Rice Cake with Salmon & Dill Spread,
3044.75,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Light Nectarine Yogurt,Seedy Avocado Toast,Green Bean Healthy Tuna Salad,Peanut Butter Berry Pineapple Protein Smoothie
1550.25,3,"Kale, Sweet Potato, and Onion Frittata",Blueberry Yogurt,Deli Beef and Sharp Cheddar Roll-Ups,,
1550.25,4,Protein Southwest Scramble,Cantaloupe,Cottage Cheese and Hummus Sandwich,Thai Cucumber Salad,
1550.25,5,Chocolate Almond Milk Protein Shake,Blueberries,Lime Chicken Salad,Mixed Greens with Sun-Dried Tomato Dressing,"Banana, Peanut Butter and Raisins"
1860.3,3,Pina Colada Chia Pudding,Cottage Cheese with Apples & Cinnamon,Chocolate Banana Smoothie,,
1860.3,4,Baby Carrot Banana Smoothie,Cucumber Avocado Toast,Greek Yogurt  with Mixed Berries,Peanut Butter & Carrots,
1860.3,5,Poached Egg and Ham Toast,Cinnamon Yogurt with Sliced Apple,Corn Tuna Salad,"Rice Cake with Peanut Butter, Pear, and Honey",Almond Butter & Celery
2131.59,3,Protein oatmeal pancakes,Bacon,Paleo Avocado Tuna Salad (Tuna in Oil),,
2131.59,4,Smoked Salmon and Mushroom Scramble,"Strawberry, Peach, and Chia Smoothie",Turkey Veggie Hummus Wrap,Lebanese Tomato and Onion Salad,
2131.59,5,"Kale, Sweet Potato, and Onion Frittata",Blueberry Yogurt,Cucumber Tomato Salad with Tuna,Peanut Butter & Celery,Rice Cakes with Banana & Almond Butter
2402.89,3,"Turkey, Goat Cheese, and Spinach Omelet",Buttered Toast with Cinnamon,Oatmeal banana protein shake,,
2402.89,4,Peanut Butter Banana Oatmeal Shake,Microwave Poached Eggs,Tuna Salad  Wrap,Edamame Slaw,
2402.89,5,Avocado & Kale Omelet,Light Nectarine Yogurt,Peach Protein Smoothie,Easy Spinach and Scallion Salad,Corn Tuna Salad
2674.18,3,Scrambled Eggs and Sausage Wrap,Cherry Berry Protein Smoothie,Plain Tuna Salad,,
2674.18,4,Nectarine Oatmeal,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Apple Walnut Parfait,Mixed Greens with Sliced Cucumber and Avocado,
2674.18,5,Zucchini Scramble,Peanut Butter Banana Smoothie,Quick Avocado Tuna Sandwich,Chopped Salad,Yogurt Peanut Butter Dip & Apples
2945.47,3,Vegetable 3 Egg Scramble,Sweet Cottage Cheese & Blue Berries,Vegan Mexican Tortilla Roll Ups,,
2945.47,4,Banana Peanut Butter Chia Pudding,Chocolate Avocado Smoothie,Peach and Blueberry Parfait,Rice Cake with Salmon & Dill Spread,
2945.47,5,Hummus Avocado Toast,3 Herb Breakfast Patties,Tuna Stuffed Pepper,Arugula Salad with Grapefruit dressing,Peanut Butter Berry Pineapple Protein Smoothie
2048.75,3,Protein oatmeal pancakes,Bacon,Blueberry Chard Protein Smoothie,,
2048.75,4,Skinny Pancakes,Yogurt with Pumpkin & Cinnamon,Quick Avocado Tuna Sandwich,Simple Cottage Cheese Salad,
2048.75,5,Broccolli Hash with Fried Egg,Pineapple Cottage Cheese with Lime,Sunrise Smoothie,Balsamic Arugula Salad,Almonds and Blueberries Yogurt Snack
